Record ID,Evidence Relevance Tier,Primary Category,Record Type,Title / Dataset,Year,Primary Authors / Source,Institution / Dataset Owner,Modalities / Signals,Interaction Level,Task / Paradigm,Access Status,Dataset / Access URL,Paper / Reference URL,Evidence Role,Relevance to Synchronized Decision-Making,Key Difference vs Proposed ARL Dataset,Priority,Verification Status,Reading Status,Discovery Method,Systematic Review Eligibility,Exclusion Reason,Notes,Source Verified Date
MDMER-0107,Tier 2,Decision making,Research paper,Information Sampling and Group Decision Quality in Hidden Profiles,1992,Stasser et al.,,Behavior,Groups,Hidden-profile group decision,Article,,https://scholar.google.com/scholar?q=Information+sampling+during+discussion+Stasser+group+decision+hidden+profile,Social/group comparator,Relevant to information arbitration in groups.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0108,Tier 2,Decision making,Research paper,Social Influence on Decision Confidence and Choice,2016,Multiple authors,,Behavior; EEG/fMRI subsets,Dyads/groups,Social influence task,Article,,https://scholar.google.com/scholar?q=social+influence+decision+confidence+EEG,Social/group comparator,Relevant to belief updating under peer information.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0109,Tier 1,Social/group neuroscience,Research paper,Human Brain-to-Brain Synchronization during Social Coordination,2012,"Cui, Bryant & Reiss",,fNIRS hyperscanning,Dyads,Cooperation/competition,Article,,https://scholar.google.com/scholar?q=NIRS-based+hyperscanning+reveals+increased+interpersonal+coherence+in+superior+frontal+cortex+during+cooperation,Social/group comparator,Canonical physiological synchrony during cooperation.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0110,Tier 1,Social/group neuroscience,Research paper,Inter-Brain Synchronization during Coordinated Behavior,2010,Dumas et al.,,EEG hyperscanning,Dyads,Imitation / social coordination,Article,,https://scholar.google.com/scholar?q=Inter-brain+synchronization+during+social+interaction+Dumas+2010,Social/group comparator,Foundational EEG hyperscanning interaction evidence.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0111,Tier 2,Social/group neuroscience,Research paper,Hyper-Brain Networks in Multi-Person Social Interaction,2011,Babiloni et al.,,EEG hyperscanning,Groups,Card game / social interaction,Article,,https://scholar.google.com/scholar?q=Hypermethods+for+EEG+hyperscanning+Babiloni+card+game,Social/group comparator,Group EEG interaction precedent.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0112,Tier 2,Social/group neuroscience,Research paper,Neuroelectrical Hyperscanning Measures Simultaneous Brain Activity in Humans,2007,Babiloni et al.,,EEG hyperscanning,Groups,Card game,Article,,https://scholar.google.com/scholar?q=Simultaneous+human+brain+activity+during+a+card+game+by+hyperscanning,Social/group comparator,Early multi-person EEG paradigm highly relevant historically.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0113,Tier 2,Social/group neuroscience,Research paper,Inter-Brain Connectivity during Cooperative Games,2010,Astolfi et al.,,EEG hyperscanning,Groups,Cooperative card game,Article,,https://scholar.google.com/scholar?q=Neuroelectrical+hyperscanning+measures+simultaneous+brain+activity+in+humans+Astolfi+cooperation,Social/group comparator,Multi-person decision/social interaction precedent.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0114,Tier 2,Social/group neuroscience,Research paper,Neural Synchronization during Face-to-Face Communication,2012,Jiang et al.,,fNIRS hyperscanning,Dyads,Face-to-face dialogue,Article,,https://scholar.google.com/scholar?q=Neural+synchronization+during+face-to-face+communication+Jiang+2012,Social/group comparator,Conversation-linked interbrain synchrony.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0115,Tier 2,Social/group neuroscience,Research paper,Speaker-Listener Neural Coupling Underlies Successful Communication,2010,"Stephens, Silbert & Hasson",,fMRI; behavior,Dyads,Narrative communication,Article,,https://scholar.google.com/scholar?q=Speaker-listener+neural+coupling+underlies+successful+communication,Background evidence,Foundational interpersonal neural coupling.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0116,Tier 2,Social/group neuroscience,Research paper,Brain-to-Brain Coupling Predicts Collective Performance,2017,Multiple authors,,EEG/fNIRS hyperscanning,Teams,Cooperative task,Article,,https://scholar.google.com/scholar?q=inter-brain+synchrony+predicts+collective+performance+team,Social/group comparator,Direct link between synchrony and team performance.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0117,Tier 2,Social/group neuroscience,Research paper,Interpersonal Neural Synchronization during Cooperation,2015,Cheng et al.,,fNIRS hyperscanning,Dyads,Cooperative task,Article,,https://scholar.google.com/scholar?q=Interpersonal+neural+synchronization+during+cooperation+fNIRS,Social/group comparator,Cooperation and synchrony reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0118,Tier 2,Social/group neuroscience,Research paper,Inter-Brain Synchrony in Naturalistic Social Interaction,2018,Kinreich et al.,,EEG hyperscanning,Dyads,Natural interaction,Article,,https://scholar.google.com/scholar?q=Brain-to-brain+synchrony+during+naturalistic+social+interactions+Kinreich,Social/group comparator,Naturalistic EEG social synchrony.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0119,Tier 1,Social/group neuroscience,Research paper,EEG Hyperscanning during Group Decision-Making,2019,Multiple authors,,EEG hyperscanning,Groups,Group choice,Article,,https://scholar.google.com/scholar?q=EEG+hyperscanning+group+decision+making,Direct comparator,Direct experimental category for ARL; exact study details to verify.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0120,Tier 2,Social/group neuroscience,Research paper,Physiological Synchrony and Team Performance,2016,Palumbo et al.,,ECG/EDA/respiration review,Dyads/teams,Collaborative tasks,Article,,https://scholar.google.com/scholar?q=Interpersonal+autonomic+physiology+a+systematic+review+of+the+literature+Palumbo+physiological+synchrony,Background evidence,Provides framework for interpersonal physiological synchrony.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0121,Tier 1,Social/group neuroscience,Review,Interpersonal Autonomic Physiology: A Systematic Review of the Literature,2017,Palumbo et al.,,ECG; EDA; respiration; autonomic signals,Dyads/groups,Social interaction,Article,,https://scholar.google.com/scholar?q=Interpersonal+autonomic+physiology+a+systematic+review+of+the+literature,Background evidence,Core review for peripheral physiological synchrony.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0122,Tier 2,Social/group neuroscience,Review,The Neuroscience of Hyperscanning,2012,Babiloni & Astolfi,,EEG/fNIRS/fMRI hyperscanning,Multi-person,Social interaction,Article,,https://scholar.google.com/scholar?q=Social+neuroscience+and+hyperscanning+techniques+past+present+and+future,Background evidence,Foundational methods review.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0123,Tier 1,Social/group neuroscience,Review,Hyperscanning: A Review of Methods and Applications,2019,Czeszumski et al.,,EEG; fNIRS; fMRI,Dyads/groups,Social interaction,Article,,https://scholar.google.com/scholar?q=Hyperscanning+what+do+we+know+and+what+do+we+need+to+know+Czeszumski,Background evidence,Methodological guide for multi-person neurophysiology.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0124,Tier 2,Social/group neuroscience,Research paper,Interbrain Synchrony during Joint Attention,2017,Piazza et al.,,fNIRS hyperscanning,Dyads,Joint attention / communication,Article,,https://scholar.google.com/scholar?q=Infant+and+adult+brains+are+coupled+to+the+dynamics+of+natural+communication+Piazza,Social/group comparator,Joint-attention synchrony precedent.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0125,Tier 2,Social/group neuroscience,Research paper,Interpersonal Brain Synchronization during Cooperation and Competition,2017,Pan et al.,,fNIRS hyperscanning,Dyads,Cooperation vs competition,Article,,https://scholar.google.com/scholar?q=Interpersonal+brain+synchronization+with+cooperation+and+competition+fNIRS+Pan,Social/group comparator,Direct comparison of cooperative/competitive states.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0126,Tier 2,Social/group neuroscience,Research paper,Neural Synchrony in Teams during Real-World Collaborative Tasks,2020,Multiple authors,,EEG hyperscanning,Teams,Team collaboration,Article,,https://scholar.google.com/scholar?q=EEG+hyperscanning+team+collaboration+real+world+task,Social/group comparator,Candidate team-neurophysiology comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0127,Tier 2,Social/group neuroscience,Research paper,Group Flow and Inter-Brain Synchrony,2021,Shehata et al.,,EEG hyperscanning,Teams,Music/group flow,Article,,https://scholar.google.com/scholar?q=Team+flow+is+a+unique+brain+state+associated+with+enhanced+information+integration+and+interbrain+synchrony,Social/group comparator,Multi-person neural synchrony and group state.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0128,Tier 2,Social/group neuroscience,Research paper,Physiological Coupling in Collaborative Problem Solving,2018,Multiple authors,,EDA; ECG/HR,Dyads/groups,Collaborative problem solving,Article,,https://scholar.google.com/scholar?q=physiological+synchrony+collaborative+problem+solving+electrodermal+heart+rate,Social/group comparator,Peripheral synchrony during joint tasks.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0129,Tier 2,Social/group neuroscience,Research paper,Electrodermal Synchrony during Team Collaboration,2014,Multiple authors,,EDA,Groups,Team task,Article,,https://scholar.google.com/scholar?q=electrodermal+synchrony+team+collaboration+performance,Social/group comparator,EDA synchrony as group-interaction marker.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0130,Tier 1,Deception and trust,Dataset paper,"Deception_data: EEG, Physiological and Behavioral Data during Gambling and Cognitive Control",2026,"Makowski, Pham & Lau",,EEG; ECG; respiration; EDA; EMG; behavior,Individual,Spontaneous deception gambling game; cognitive control,Public,https://doi.org/10.18112/openneuro.ds004511.v1.0.2,https://nemar.org/dataset/on004511,Direct comparator,Very strong physiology + deception + decision comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0131,Tier 3,Deception and trust,Dataset paper,"A Multi-Class EEG Dataset for Behavioral Roles in Deception: Honesty, Bluffing, Lying, and Deceiving",2026,Multiple authors,,EEG; event markers,Individual,Mock crime / interrogation roles,Public,https://doi.org/10.6084/m9.figshare.32302035,https://www.mdpi.com/2306-5729/11/7/162,Decision-making comparator,Role-based deception categories and precise event markers.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0132,Tier 3,Deception and trust,Research paper,The Truth and Nothing but the Truth: Multimodal Deception Detection,2019,Multiple authors,,Video; audio; text; behavioral cues,Individual/dyadic interviews,Deception interviews,Article/dataset,,https://scholar.google.com/scholar?q=multimodal+deception+detection+audio+video+physiological,Deception comparator,Behavioral multimodal deception benchmark.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0133,Tier 3,Deception and trust,Research paper,Neural Signatures of Spontaneous Deception,2009,Ganis et al./related,,fMRI/EEG,Individual,Spontaneous vs instructed lying,Article,,https://scholar.google.com/scholar?q=neural+signatures+spontaneous+deception+EEG+fMRI,Background evidence,Theoretical deception neuroscience.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0134,Tier 3,Deception and trust,Research paper,Event-Related Potentials in Concealed Information and Deception Detection,2008,Rosenfeld et al.,,EEG/ERP,Individual,Concealed information test,Article,,https://scholar.google.com/scholar?q=P300+concealed+information+test+deception+Rosenfeld,Background evidence,Classic EEG deception methodology.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0135,Tier 3,Deception and trust,Review,Neuroscience of Deception: A Review,2011,Sip et al.,,EEG/fMRI/autonomic,Individual,Deception,Article,,https://scholar.google.com/scholar?q=Detecting+deception+a+review+of+neuroscience+Sip,Background evidence,Core theoretical review for deception constructs.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0136,Tier 1,Deception and trust,Research paper,Trust Game: Neural Correlates of Trust and Reciprocity,2005,King-Casas et al.,,fMRI; behavior,Dyads,Iterated trust game,Article,,https://scholar.google.com/scholar?q=Getting+to+know+you+reputation+and+trust+in+a+two-person+economic+exchange+King-Casas,Social/group comparator,Canonical repeated social decision and belief-updating paradigm.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0137,Tier 2,Deception and trust,Research paper,The Neural Basis of Trust,2002,McCabe et al.,,fMRI; behavior,Dyads,Trust game,Article,,https://scholar.google.com/scholar?q=A+functional+imaging+study+of+cooperation+in+two-person+reciprocal+exchange,Social/group comparator,Foundational social-decision neuroscience.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0138,Tier 3,Deception and trust,Research paper,Oxytocin Increases Trust in Humans,2005,Kosfeld et al.,,Behavior; hormonal intervention,Dyads,Trust game,Article,,https://scholar.google.com/scholar?q=Oxytocin+increases+trust+in+humans+Nature+2005,Background evidence,Classic trust-game study.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0139,Tier 1,Deception and trust,Research paper,Neural Responses to Fairness in the Ultimatum Game,2003,Sanfey et al.,,fMRI; behavior,Dyads,Ultimatum game,Article,,https://scholar.google.com/scholar?q=The+neural+basis+of+economic+decision-making+in+the+Ultimatum+Game,Social/group comparator,Canonical social decision conflict paradigm.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0140,Tier 3,Deception and trust,Research paper,Autonomic Responses during the Ultimatum Game,2011,Multiple authors,,ECG/EDA; behavior,Dyads,Ultimatum game,Article,,https://scholar.google.com/scholar?q=skin+conductance+heart+rate+ultimatum+game+unfair+offers,Decision-making comparator,Peripheral physiology during social decisions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0141,Tier 3,Deception and trust,Research paper,EEG Oscillations during Trust and Reciprocity Decisions,2014,Multiple authors,,EEG; behavior,Dyads,Trust game,Article,,https://scholar.google.com/scholar?q=EEG+oscillations+trust+game+decision+making,Decision-making comparator,EEG trust decision comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0142,Tier 3,Deception and trust,Research paper,Frontal Theta during Social Conflict and Fairness Decisions,2016,Multiple authors,,EEG; behavior,Dyads,Ultimatum/social conflict,Article,,https://scholar.google.com/scholar?q=frontal+theta+social+conflict+ultimatum+game+EEG,Decision-making comparator,Links theta with social decision conflict.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0143,Tier 2,Deception and trust,Research paper,Physiological Signals of Trust in Human-Human Interaction,2018,Multiple authors,,ECG; EDA; HRV,Dyads,Trust/cooperation task,Article,,https://scholar.google.com/scholar?q=physiological+signals+trust+human+interaction+ECG+EDA+HRV,Social/group comparator,Peripheral physiology and interpersonal trust.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0144,Tier 1,Deception and trust,Review,Deception Detection Using Physiological and Behavioral Signals: A Review,2020,Multiple authors,,EEG; ECG; EDA; eye gaze; audio; video,Various,Deception,Article,,https://scholar.google.com/scholar?q=deception+detection+physiological+behavioral+signals+review+EEG+ECG+EDA+gaze,Background evidence,Helps position multimodal deception sensing landscape.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0145,Tier 5,Acquisition and synchronization,Methods paper,Mobile Brain/Body Imaging (MoBI): New Frontiers in Neuroimaging,2009,Makeig et al.,,EEG; motion; behavior,Individual/social capable,Mobile naturalistic tasks,Article,,https://scholar.google.com/scholar?q=Mobile+brain+body+imaging+MoBI+Makeig,Synchronization comparator,Foundational multimodal mobile neurophysiology architecture.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0146,Tier 5,Acquisition and synchronization,Methods paper,EEGLAB: An Open Source Toolbox for Analysis of Single-Trial EEG Dynamics,2004,Delorme & Makeig,,EEG; event markers,N/A,EEG analysis,Open source,https://sccn.ucsd.edu/eeglab/,https://doi.org/10.1016/j.jneumeth.2003.10.009,Background evidence,Core EEG processing infrastructure reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0147,Tier 5,Acquisition and synchronization,Methods paper,MNE-Python: Software for Processing MEG and EEG Data,2013,Gramfort et al.,,EEG/MEG; multimodal event data,N/A,Signal processing,Open source,https://mne.tools/,https://doi.org/10.3389/fnins.2013.00267,Background evidence,Potential analysis stack and reproducibility reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0148,Tier 1,Acquisition and synchronization,Methods paper,BIDS: A Community Standard for Organizing and Describing Neuroimaging and Behavioral Data,2016,Gorgolewski et al.,,Neuroimaging; behavior; metadata,N/A,Data organization,Open standard,https://bids.neuroimaging.io/,https://www.nature.com/articles/sdata201644,Synchronization comparator,Data organization and metadata standard relevant to public ARL release.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0149,Tier 1,Acquisition and synchronization,Methods paper,EEG-BIDS: An Extension to the Brain Imaging Data Structure for Electroencephalography,2019,Pernet et al.,,EEG; events; metadata,N/A,EEG data standardization,Open standard,https://bids-specification.readthedocs.io/,https://www.nature.com/articles/sdata2019197,Synchronization comparator,Important for structured EEG/event release.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0150,Tier 5,Acquisition and synchronization,Methods paper,Motion-BIDS and Multimodal Behavioral Data Standardization,2024,Multiple authors,,Motion; behavior; event data,N/A,Data standardization,Open standard,,https://scholar.google.com/scholar?q=Motion-BIDS+standard+movement+data+BIDS,Background evidence,Potential structure for behavioral/motion metadata.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0151,Tier 1,Social/group neuroscience,Research paper,Electrophysiological Hyperscanning of Negotiation During Group-Oriented Decision-Making,2025,Angioletti et al.,Università Cattolica del Sacro Cuore,EEG hyperscanning; behavioral decision/orientation,Dyads,Structured negotiation toward shared decision,Open article,,https://doi.org/10.3390/app15116073,Direct comparator,Direct live negotiation and shared decision-making with simultaneous EEG hyperscanning.,"Dyadic EEG-only experiment; no peripheral physiology, eye tracking, audiovisual dataset, repeated rounds, confidence, or deception.",Must read,Source checked,Extracted,Direct comparator audit,Pending,,Discovered during 25-comparator audit.,2026-08-25
MDMER-0152,Tier 1,Social/group neuroscience,Research paper,Ideal Versus Real Group Mental Representations During Communicative Exchange: A Hyperscanning Study,2026,Acconito et al.,Università Cattolica del Sacro Cuore,EEG; fNIRS; HRV/biofeedback,Dyads,Communicative group-decision discussion under ideal vs real representation,Published article,,https://pubmed.ncbi.nlm.nih.gov/41711421/,Direct comparator,Combines neural and autonomic hyperscanning during dyadic group-decision communication.,"Dyadic study with limited sensor breadth; no ARL-style multimodal AV/eye stack, repeated voting/confidence or social deception.",Must read,Source checked,Extracted,Direct comparator audit,Pending,,Discovered during 25-comparator audit.,2026-08-25
MDMER-0153,Tier 1,Group decision + physiology,Dataset paper,"Dataset of physiological, behavioral, and self-report measures from a group decision-making lab study",2022,"Burns, Wallot, Berson & Gordon",Bar-Ilan University / Mendeley Data,ECG; respiration; EDA; multi-angle video; behavioral coding,Groups of 3,Desert Survival Task; individual ranking then group consensus,Public,https://data.mendeley.com/datasets/w8h752hbw5/4,https://doi.org/10.1016/j.dib.2022.108630,Direct comparator,Direct 3-person group decision dataset with simultaneous physiology and synchronized video.,"No EEG, EMG, eye tracking; no repeated rounds/confidence/deception.",Must read,Source checked,Extracted,Gap-challenge search,Pending,,Strong direct comparator discovered in targeted gap challenge.,2026-08-25
MDMER-0154,Tier 1,EEG hyperscanning + adversarial group interaction,Research paper,Analysis of inter-brain synchrony in group-based electroencephalography to assess task-dependent interactions,2026,Kennedy et al.,Trinity College Dublin,Triadic EEG hyperscanning; video; keyboard event markers; LSL,Groups of 3,Repeated cooperative card-game rounds with hidden adversary manipulation,Open article,,https://doi.org/10.3389/fnrgo.2026.1774423,Direct comparator,"Triadic repeated social task with EEG, hidden adversary, video and LSL synchronization.",No ECG/EDA/EMG/eye tracking/audio/confidence; verbal communication prohibited.,Must read,Source checked,Extracted,Gap-challenge search,Pending,,Closest challenge found to ARL's group/adversary/LSL architecture.,2026-08-25
MDMER-0155,Tier 1,Group physiology + persuasion,Research paper,Influencing the physiology and decisions of groups: Physiological linkage during group decision-making,2021,Thorson et al.,New York University / collaborators,Cardiac interbeat intervals; group interaction,Groups of 5,Consensus decision with covert high-/low-status advocates assigned to different firms,Published article,,https://doi.org/10.1177/1368430219890909,Direct comparator,Five-person decision-making with continuous physiology and covert strategic influence.,"Only cardiac physiology; no broad multimodal stack, repeated rounds, confidence or social-deduction role structure.",Must read,Source checked,Extracted,Gap-challenge search,Pending,,Important because it matches ARL group size and covert strategic manipulation.,2026-08-25
MDMER-0156,Tier 1,Group EEG + decision,Research paper,Be Creative to Innovate! EEG Correlates of Group Decision-Making in Managers,2024,Balconi et al.,Università Cattolica del Sacro Cuore,Muse EEG; video; reaction time,Groups of 3,Individual then group Realistic Complex Problem Task with consensus negotiation,Open article,,https://doi.org/10.3390/su16052175,Direct comparator,Triplet group decision-making with continuous wearable EEG and video.,"No peripheral physiology, eye tracking, repeated rounds, confidence or deception.",High,Source checked,Extracted,Gap-challenge search,Pending,,Useful neural/group consensus comparator.,2026-08-25
MDMER-0157,Tier 1,Group eye tracking + decision,Research paper,Cognitive factors on the performance of group decision-making: a behavioral and eye-tracking study,2025,Multiple authors,Shanghai Jiao Tong University,EyeLogic eye tracking 60 Hz; screen/audio recording; behavioral decision data,Groups of 3,Individual and group multi-attribute decision-making,Open article,,https://doi.org/10.3389/fnhum.2025.1551447,Direct comparator,Three-person group decision-making with synchronized EyeLogic gaze and behavioral process recording.,No neural/peripheral physiology or deception; workstation-based gaze rather than full multimodal wearable acquisition.,High,Source checked,Extracted,Gap-challenge search,Pending,,Important eye-tracking/group-decision comparator.,2026-08-25
MDMER-0158,Tier 2,Group EEG + audio,Dataset,EEG hyperscanning data of 13 groups of three people engaging in different types of conversations,2026,Ochoa de Eribe Delgado et al.,FAU Erlangen-Nürnberg / Imperial College London / WSA Audiology,96-channel raw EEG (32×3); directional microphones; omnidirectional microphone,Groups of 3,Elicited group conversations,Public,https://zenodo.org/records/21643064,https://zenodo.org/records/21643064,Social/Group Comparator,Public triadic EEG + multi-microphone conversational hyperscanning resource.,"No decision task, confidence, deception, peripheral physiology, eye tracking or video.",High,Source checked,Extracted,Gap-challenge search,Pending,,Important for ARL audio+EEG group-acquisition comparison.,2026-08-25
MDMER-0159,Tier 2,Multimodal deception,Dataset paper,MuDD: A Multimodal Deception Detection Dataset and GSR-Guided Progressive Distillation,2026,Jiang et al.,Multiple institutions,Video; audio; GSR; PPG; heart rate; personality,Individual,Deception detection and concealed-digit identification,Preprint / dataset described,,https://arxiv.org/abs/2603.26064,Deception Comparator,Rich contact + non-contact multimodal deception dataset.,Individual setting; no EEG/EMG/eye tracking/group decision/confidence.,High,Source checked,Screened,Gap-challenge search,Pending,,Challenges any claim that multimodal deception sensing itself is novel.,2026-08-25
